iter	Accuracy	MultiClass
464	1	0.01488410561
465	1	0.01484714016
466	1	0.01480803374
467	1	0.01476785252
468	1	0.01471405356
469	1	0.01468744105
470	1	0.01465182824
471	1	0.0146173806
472	1	0.01458220616
473	1	0.0145242368
474	1	0.01449463444
475	1	0.01445596353
476	1	0.01443005762
477	1	0.01438839493
478	1	0.01435549125
479	1	0.01432654646
480	1	0.01429008765
481	1	0.01426275123
482	1	0.01421691045
483	1	0.01416533705
484	1	0.01407886994
485	1	0.01404321963
486	1	0.01396709969
487	1	0.01393737235
488	1	0.01391234994
489	1	0.01387077089
490	1	0.01384571964
491	1	0.01380729964
492	1	0.01373383499
493	1	0.01370165713
494	1	0.01367042142
495	1	0.0136356546
496	1	0.01360810188
497	1	0.01356945403
498	1	0.01351559739
499	1	0.01348002688
500	1	0.01343895928
501	1	0.01341048364
502	1	0.01337906718
503	1	0.01335985526
504	1	0.01331462879
505	1	0.01329022934
506	1	0.01325657868
507	1	0.01317984154
508	1	0.01313879028
509	1	0.01309952524
510	1	0.01304687415
511	1	0.01302312074
512	1	0.01298387877
513	1	0.01293895802
514	1	0.01287094432
515	1	0.0128464545
516	1	0.01280995819
517	1	0.01278281404
518	1	0.01274340383
519	1	0.01272004554
520	1	0.01269261587
521	1	0.0126721138
522	1	0.01260729663
523	1	0.01258500449
524	1	0.01256357662
525	1	0.01251047657
526	1	0.0124910618
527	1	0.01245927522
528	1	0.01242530346
529	1	0.01235125815
530	1	0.01232254505
531	1	0.01224882564
532	1	0.01222927051
533	1	0.01220475281
534	1	0.01217982846
535	1	0.01211124466
536	1	0.01209079066
537	1	0.01206978579
538	1	0.01201762884
539	1	0.01199321112
540	1	0.01197117952
541	1	0.01193418041
542	1	0.01190804474
543	1	0.01188967016
544	1	0.01186328838
545	1	0.01184464847
546	1	0.01181771486
547	1	0.01178288844
548	1	0.01176313143
549	1	0.01173377806
550	1	0.01171857888
551	1	0.01170114452
552	1	0.01166275144
553	1	0.01163950274
554	1	0.01162109836
555	1	0.01154449101
556	1	0.01151621726
557	1	0.01149627759
558	1	0.01147723679
559	1	0.01146271921
560	1	0.01142190926
561	1	0.01139730407
562	1	0.01137931405
563	1	0.01131673878
564	1	0.01128070681
565	1	0.01126284561
566	1	0.01124405188
567	1	0.01117674574
568	1	0.0111380008
569	1	0.0111108951
570	1	0.01109639675
571	1	0.01105544548
572	1	0.01101952118
573	1	0.01100453061
574	1	0.01096545112
575	1	0.01090936026
576	1	0.01088157104
577	1	0.01084403549
578	1	0.0108301553
579	1	0.01077575549
580	1	0.0107516954
581	1	0.01073343523
582	1	0.01071846101
583	1	0.01070571523
584	1	0.01068704647
585	1	0.01066774418
586	1	0.01064941095
587	1	0.01062829841
588	1	0.01058818736
589	1	0.01057185569
590	1	0.01055192371
591	1	0.01053678605
592	1	0.01051599268
593	1	0.01046697171
594	1	0.01044580725
595	1	0.01038580941
596	1	0.01037210514
597	1	0.01033667787
598	1	0.01031845423
599	1	0.01029982298
600	1	0.0102847132
601	1	0.01025094044
602	1	0.01023761592
603	1	0.01022355883
604	1	0.01021089477
605	1	0.01018857668
606	1	0.01017688936
607	1	0.01015924158
608	1	0.01014312237
609	1	0.01012374701
610	1	0.01008418299
611	1	0.0100681551
612	1	0.01003801823
613	1	0.009987152392
614	1	0.009971960898
615	1	0.009959964022
616	1	0.009904894137
617	1	0.009891661905
618	1	0.009846658476
619	1	0.009831595805
620	1	0.009816690799
621	1	0.009789093848
622	1	0.009774685867
623	1	0.009754751959
624	1	0.009731837819
625	1	0.009712587441
626	1	0.009700935694
627	1	0.009688360076
628	1	0.009663324202
629	1	0.009627866168
630	1	0.009610166473
631	1	0.009597715832
632	1	0.009571680138
633	1	0.009520827763
634	1	0.009510812259
635	1	0.009490045809
636	1	0.009474631279
637	1	0.009439631816
638	1	0.009424424941
639	1	0.009413917218
640	1	0.00940189823
641	1	0.00939016669
642	1	0.009377285357
643	1	0.009366262344
644	1	0.00932123488
645	1	0.009303508266
646	1	0.00926368275
647	1	0.009254108514
648	1	0.009226145283
649	1	0.009183925967
650	1	0.00916984485
651	1	0.009157930651
652	1	0.009145615562
653	1	0.009128299452
654	1	0.009113461741
655	1	0.009087021312
656	1	0.0090689015
657	1	0.009056322998
658	1	0.009032716674
659	1	0.009012586647
660	1	0.008984519589
661	1	0.008976236466
662	1	0.008967073694
663	1	0.008955655559
664	1	0.00894348083
665	1	0.008932516459
666	1	0.008905949131
667	1	0.008894878049
668	1	0.008882524506
669	1	0.008866431252
670	1	0.008819907904
671	1	0.008811116219
672	1	0.008787750236
673	1	0.008779819935
674	1	0.008762623995
675	1	0.008747781477
676	1	0.008711364961
677	1	0.00870197723
678	1	0.008691637747
679	1	0.008683777625
680	1	0.008669012977
681	1	0.008655037611
682	1	0.008644502009
683	1	0.008612530847
684	1	0.008594960936
685	1	0.00857491647
686	1	0.008554266345
687	1	0.008543970123
688	1	0.00853335569
689	1	0.008510103149
690	1	0.00849773903
691	1	0.008481379478
692	1	0.008467588694
693	1	0.008458983514
694	1	0.008440188823
695	1	0.008408767562
696	1	0.008397055249
697	1	0.008387020519
698	1	0.008376956947
699	1	0.008348747607
