iter	Passed	Remaining
555	23008	5958
556	23047	5917
557	23092	5876
558	23133	5835
559	23175	5793
560	23213	5751
561	23253	5709
562	23287	5666
563	23323	5624
564	23359	5581
565	23391	5537
566	23425	5494
567	23470	5454
568	23511	5412
569	23555	5372
570	23596	5330
571	23635	5288
572	23675	5247
573	23712	5205
574	23751	5163
575	23799	5123
576	23841	5082
577	23880	5040
578	23920	4998
579	23956	4956
580	23991	4913
581	24025	4871
582	24059	4828
583	24097	4786
584	24134	4744
585	24174	4702
586	24213	4661
587	24255	4620
588	24292	4577
589	24325	4535
590	24368	4494
591	24410	4453
592	24452	4412
593	24497	4371
594	24535	4329
595	24581	4289
596	24618	4247
597	24658	4205
598	24694	4163
599	24737	4122
600	24780	4082
601	24826	4041
602	24861	3999
603	24904	3958
604	24944	3916
605	24981	3874
606	25016	3832
607	25055	3791
608	25093	3749
609	25129	3707
610	25168	3666
611	25207	3624
612	25246	3583
613	25284	3541
614	25320	3499
615	25359	3458
616	25409	3418
617	25470	3379
618	25525	3340
619	25559	3297
620	25600	3256
621	25642	3215
622	25682	3174
623	25718	3132
624	25760	3091
625	25797	3049
626	25836	3008
627	25882	2967
628	25923	2926
629	25957	2884
630	25997	2842
631	26034	2801
632	26077	2760
633	26119	2719
634	26152	2677
635	26193	2635
636	26238	2595
637	26276	2553
638	26315	2512
639	26356	2470
640	26390	2429
641	26425	2387
642	26464	2345
643	26503	2304
644	26550	2263
645	26591	2222
646	26635	2181
647	26673	2140
648	26707	2098
649	26746	2057
650	26785	2016
651	26822	1974
652	26858	1933
653	26896	1891
654	26935	1850
655	26978	1809
656	27015	1768
657	27050	1726
658	27090	1685
659	27128	1644
660	27165	1602
661	27199	1561
662	27234	1519
663	27272	1478
664	27314	1437
665	27353	1396
666	27393	1355
667	27429	1313
668	27463	1272
669	27503	1231
670	27543	1190
671	27579	1149
672	27615	1107
673	27654	1066
674	27691	1025
675	27728	984
676	27768	943
677	27811	902
678	27848	861
679	27885	820
680	27919	778
681	27963	738
682	28011	697
683	28052	656
684	28088	615
685	28129	574
686	28172	533
687	28208	492
688	28244	450
689	28281	409
690	28323	368
691	28364	327
692	28400	286
693	28436	245
694	28467	204
695	28511	163
696	28549	122
697	28594	81
698	28632	40
699	28672	0
